,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
56,cockburn town,73.85,72,96,22.57,21.4612,-71.1419
57,bam,50.29,35,0,3.13,29.106,58.357
58,pisco,73.45,73,40,19.57,-13.7,-76.2167
59,coquimbo,65.93,77,40,10.36,-29.9533,-71.3436
60,vaini,86.16,79,75,10.36,-21.2,-175.2
61,khuzdar,50.81,37,0,6.58,27.7384,66.6434
62,constitucion,60.04,71,0,10.54,-35.3333,-72.4167
63,beringovskiy,6.24,82,96,17.58,63.05,179.3167
64,meadow lake,54.61,28,15,1.88,34.8014,-106.5436
65,solec kujawski,24.71,67,0,1.01,53.0837,18.2257
66,akyab,58.59,59,14,5.53,20.15,92.9
67,karaul,,,,,,
68,hualmay,71.37,81,71,8.59,-11.0964,-77.6139
69,jamestown,25.77,50,0,5.75,42.097,-79.2353
70,kandalaksha,0.27,99,99,3.51,67.162,32.4123
71,torbay,31.35,76,75,14.97,47.6666,-52.7314
72,komsomolskiy,27.3,80,95,4.61,40.4272,71.7189
73,hamilton,33.04,67,73,3.13,39.1834,-84.5333
74,mount gambier,66.11,52,75,19.57,-37.8333,140.7667
75,nizhneyansk,,,,,,
76,recco,49.15,30,1,12.8,44.3623,9.1435
77,kegayli,,,,,,
78,lakes entrance,90.16,58,6,9.28,-37.8811,147.981
79,ilulissat,-1.35,98,100,4.59,69.2167,-51.1
80,haines junction,-13.05,58,89,3.44,60.7522,-137.5108
81,alyangula,84.07,84,40,12.66,-13.8483,136.4192
82,tautira,86.02,78,33,19.39,-17.7333,-149.15
83,eirunepe,79.45,69,98,2.33,-6.6603,-69.8736
84,reconquista,81.66,37,1,8.34,-29.15,-59.65
85,kodiak,29.71,74,90,5.75,57.79,-152.4072
86,toungoo,,,,,,
87,sentyabrskiy,,,,,,
88,kapaa,75.24,71,0,1.01,22.0752,-159.319
89,provideniya,5.11,66,40,26.84,64.3833,-173.3
90,bengkulu,75.85,86,100,3.87,-3.8004,102.2655
91,ancud,56.93,75,11,8.12,-41.8697,-73.8203
92,los llanos de aridane,57.13,68,0,7,28.6585,-17.9182
93,viligili,,,,,,
94,aykhal,-27.47,100,89,4.97,66,111.5
95,vila franca do campo,59.2,82,54,14.56,37.7167,-25.4333
96,hilo,78.31,62,20,11.5,19.7297,-155.09
97,cidreira,73.33,85,26,3.89,-30.1811,-50.2056
98,inegol,27.68,83,41,5.39,40.0781,29.5133
99,qaanaaq,-22.63,52,0,11.16,77.484,-69.3632
100,santa cruz,76.46,69,75,14.97,-17.8,-63.1667
101,mwingi,66.31,67,91,0.51,-0.9344,38.0601
102,hobart,81.88,50,40,4,-42.8794,147.3294
103,illoqqortoormiut,,,,,,
104,callaway,56.12,74,0,1.01,30.153,-85.5699
105,bardiyah,55.53,69,40,11.88,31.7561,25.0865
106,innisfail,84.04,66,84,3.58,-17.5333,146.0333
107,kambove,60.67,97,99,2.75,-10.8764,26.5969
108,labytnangi,-21.41,100,82,3.04,66.6572,66.4183
109,bluff,75.79,80,37,3.31,-46.6,168.3333
110,vallenar,71.51,51,5,4.41,-28.5708,-70.7581
111,puerto ayora,74.55,93,72,1.01,-0.7393,-90.3518
112,svetlaya,10.42,66,12,8.77,46.5389,138.3297
113,itoigawa,36.61,71,93,2.06,37.0333,137.85
114,naze,50.92,60,69,5.46,28.3667,129.4833
115,arraial do cabo,75.16,94,75,3.44,-22.9661,-42.0278
116,karratha,86.7,66,78,5.17,-20.7377,116.8463
117,tasiilaq,-1.97,98,96,5.26,65.6145,-37.6368
118,vanavara,-11.22,100,91,1.97,60.34,102.2797
119,longyearbyen,12.04,67,20,9.22,78.2186,15.6401
120,pocone,71.56,99,100,6.31,-16.2567,-56.6228
121,paamiut,20.88,79,100,16.35,61.994,-49.6678
122,nishihara,58.5,75,75,3.44,26.1842,127.7558
123,vila,38.73,73,2,6.35,42.0304,-8.1588
124,port hardy,42.98,87,75,3.44,50.6996,-127.4199
125,marcona,,,,,,
126,barentsburg,,,,,,
127,cherskiy,-10.61,91,100,3.62,68.75,161.3
128,samusu,,,,,,
129,bethel,19.99,91,60,1.61,41.3712,-73.414
130,pangnirtung,-25.6,68,20,2.3,66.1451,-65.7125
131,petropavlovsk-kamchatskiy,25.39,74,100,13.42,53.0452,158.6483
132,kavieng,80.92,80,100,9.84,-2.5744,150.7967
133,chara,-22.56,90,78,1.07,56.9064,118.2631
134,hay river,-4.02,71,40,9.22,60.8156,-115.7999
135,mayya,-22.68,97,100,5.21,61.7333,130.2811
136,fereydun kenar,50.2,55,78,2.66,36.6864,52.5225
137,stephenville,59.81,72,75,11.5,32.2207,-98.2023
138,emirdag,20.14,93,37,5.7,39.0197,31.15
139,yar-sale,-16.76,100,68,5.55,66.8333,70.8333
140,roald,30.87,80,20,12.66,62.5833,6.1333
141,khatanga,-28.84,100,44,2.91,71.9667,102.5
142,georgetown,77.04,88,20,3,5.4112,100.3354
143,tarbagatay,-26.07,100,98,2.3,51.4803,107.3602
144,ternate,80.8,77,100,6.15,0.8,127.4
145,marabba,63.86,19,0,15.21,12.35,32.1833
146,saskylakh,-28.8,100,80,2.24,71.9167,114.0833
147,shima,51.82,92,98,4.45,24.4478,117.8111
148,half moon bay,57.45,74,0,3,37.4636,-122.4286
149,belaya gora,-15.27,94,100,2.62,68.5333,146.4167
150,piacabucu,79.27,77,5,7.52,-10.4056,-36.4344
151,hami,19.76,39,1,2.13,42.8,93.45
152,rovaniemi,-0.99,84,0,6.91,66.5,25.7167
153,monrovia,76.77,88,38,4.68,6.3005,-10.7969
154,saldanha,66.25,77,16,6.76,-33.0117,17.9442
155,jumla,30.74,64,15,3.18,29.2747,82.1838
156,aswan,52.07,54,0,7.99,24.0934,32.907
157,prince george,22.95,77,90,5.75,53.9166,-122.753
158,saint george,58.93,16,0,3,37.1041,-113.5841
159,chuy,63.1,63,22,9.1,-33.6971,-53.4616
160,oktyabrskiy,28.44,85,100,18.9,54.4815,53.471
161,grand river south east,,,,,,
162,karaton,82.96,84,100,1.59,-6.3424,106.1045
163,pitimbu,79.39,78,22,8.25,-7.4706,-34.8086
164,muisne,74.75,86,84,4.97,0.6,-80.0333
165,marawi,70.32,90,100,1.39,7.9986,124.2928
166,krasnoye,31.35,96,100,5.41,49.9145,24.6134
167,port lincoln,64.49,60,72,21.59,-34.7333,135.8667
168,hearst,16.05,93,98,10.18,49.6835,-83.6665
169,pointe michel,77.85,75,58,10.36,15.25,-61.3833
170,arman,4.75,78,94,14.03,59.7,150.1667
171,narsaq,26.82,88,99,5.66,60.9167,-46.05
172,ponta do sol,66,83,32,12.95,32.6667,-17.1
173,gat,49.87,100,53,8.1,31.61,34.7642
174,seybaplaya,75.36,62,11,9.51,19.65,-90.6667
175,saint-philippe,78.39,80,100,14.81,-21.3585,55.7679
176,yirol,,,,,,
177,aksu,24.8,44,18,3.71,41.1231,80.2644
178,bambous virieux,79.05,78,75,14.97,-20.3428,57.7575
179,klaksvik,47.32,82,100,36.84,62.2266,-6.589
180,codrington,63.19,62,71,20.49,-38.2667,141.9667
181,turukhansk,9.64,94,100,11.86,65.8167,87.9833
182,hovd,-13.47,80,31,1.43,48.0056,91.6419
183,aklavik,1.4,78,75,11.5,68.2191,-135.0107
184,tiksi,-10.71,100,100,6.58,71.6872,128.8694
185,thurso,41.25,93,100,31.47,58.5927,-3.5259
186,hithadhoo,82.11,75,26,11.68,-0.6,73.0833
187,thinadhoo,82.56,69,19,11.05,0.5333,72.9333
188,nichinan,42.48,60,63,7.96,31.6,131.3667
189,mount isa,85.77,66,73,12.66,-20.7333,139.5
190,grand gaube,79.38,70,65,5.99,-20.0064,57.6608
191,itarema,79.12,77,14,12.21,-2.9248,-39.9167
192,oxford,42.96,88,53,1.01,51.7522,-1.256
193,geraldton,72.01,56,3,20.71,-28.7667,114.6
194,kalach-na-donu,34.05,93,100,14.65,48.691,43.5264
195,natchitoches,62.26,48,0,9.22,31.7668,-93.1335
196,oranjemund,67.12,84,0,7.65,-28.55,16.4333
197,anori,74.07,98,100,2.59,-3.7728,-61.6442
198,balugaon,60.42,69,8,3.13,20.1667,85.1
199,phrai bung,,,,,,
200,whithorn,72.66,92,41,5.93,18.2604,-78.0378
201,punakha,42.28,96,97,1.19,27.5837,89.8598
202,tessalit,64.18,12,50,9.28,20.1986,1.0114
203,anito,78.12,89,68,9.55,12.4497,125.2886
204,mys shmidta,,,,,,
205,chokurdakh,-13.92,95,100,2.24,70.6333,147.9167
206,ribeira grande,59.83,75,14,14.32,38.5167,-28.7
207,udachnyy,-36.04,100,81,3.38,66.4167,112.4
208,buchanan,76.96,88,82,2.82,5.8808,-10.0467
209,beloha,71.76,81,47,12.24,-25.1667,45.05
210,vernon,37.49,48,46,3.44,50.2581,-119.2691
211,toucheng,61.88,84,99,11.48,24.8592,121.8233
212,sholokhove,28.62,89,31,8.7,47.6945,34.0312
213,katha,,,,,,
214,witrivier,,,,,,
215,saint-joseph,77.38,79,100,15.43,-21.3667,55.6167
216,wairoa,77.56,57,85,4,-39.0333,177.3667
217,mizdah,46.92,42,84,14.76,31.4451,12.9801
218,rungata,,,,,,
219,bolungarvik,,,,,,
220,changji,0.39,85,75,2.24,44.0167,87.3167
221,palana,14,85,100,15.28,59.1167,159.9667
222,salalah,66.58,68,2,4.72,17.0151,54.0924
223,sinnamary,76.8,86,100,9.4,5.3833,-52.95
224,paulista,78.66,78,16,6.02,-7.9408,-34.8731
225,mamallapuram,73.45,75,28,0.87,12.6264,80.1722
226,pilao arcado,,,,,,
227,erattupetta,76.3,92,19,2.95,9.7,76.7833
228,cuiluan,-4.76,99,98,2.26,47.72,128.648
229,anadyr,18.1,45,0,8.95,64.75,177.4833
230,finschhafen,84.34,72,100,5.55,-6.6024,147.8681
231,lafia,71.08,16,77,3.87,8.4833,8.5167
232,banmo,,,,,,
233,viramgam,62.83,84,0,6.31,23.1225,72.0484
234,skagastrond,,,,,,
235,sao filipe,75.04,69,100,5.35,14.8961,-24.4956
236,emba,17.67,90,100,6.98,48.8264,58.1442
237,tura,54.81,65,25,4.99,25.5198,90.2201
238,dingle,77.63,86,99,9.71,10.9995,122.6711
239,port elizabeth,73.69,94,100,9.22,-33.918,25.5701
240,phan rang,,,,,,
241,ixtapa,76.23,80,0,5.99,20.7,-105.2
242,mudyuga,,,,,,
243,acapulco,84.02,61,20,10.36,16.8634,-99.8901
244,castro,63.16,92,13,3.71,-24.7911,-50.0119
245,souillac,79.18,78,75,14.97,-20.5167,57.5167
246,simav,27.54,90,57,4.5,39.0882,28.9777
247,lasa,31.75,95,96,7.49,46.6166,10.7002
248,poum,81.16,73,89,11.61,-20.2333,164.0167
249,mahebourg,79.09,78,75,14.97,-20.4081,57.7
250,talnakh,6.21,96,100,9.06,69.4865,88.3972
251,iracoubo,76.8,86,100,9.37,5.4802,-53.2011
252,de aar,65.98,85,100,9.6,-30.6497,24.0123
253,burnie,73.94,56,59,12.03,-41.0667,145.9167
254,celestun,73.29,64,4,15.08,20.8667,-90.4
255,kontagora,70.75,13,83,8.41,10.3999,5.4695
256,america dourada,70.54,76,30,5.3,-11.4553,-41.4361
257,vao,77.88,84,100,9.06,-22.6667,167.4833
258,thai binh,53.6,77,100,6.8,20.45,106.3333
259,gamba,77.07,87,80,3.65,-2.65,10
260,te anau,72.43,44,92,2.15,-45.4167,167.7167
261,luderitz,65.66,87,9,5.5,-26.6481,15.1594
262,namatanai,82.27,75,95,5.88,-3.6667,152.4333
263,alofi,78.69,83,75,9.22,-19.0595,-169.9187
264,tidore,,,,,,
265,pevek,-17.48,97,92,0.81,69.7008,170.3133
266,sfantu gheorghe,22.64,95,100,2.53,45.8667,25.7833
267,cartagena,80.22,74,20,16.11,10.3997,-75.5144
268,bubaque,77.52,67,88,13.18,11.2833,-15.8333
269,shelburne,20.5,96,67,4.76,44.0787,-80.2041
270,machalpur,59.34,60,0,5.79,24.1333,76.3
271,angoche,76.19,84,1,6.67,-16.2325,39.9086
272,cuervos,71.87,12,100,1.48,32.6314,-114.8556
273,dunedin,65.8,82,82,11.99,-45.8742,170.5036
274,axim,78.53,86,99,3.91,4.8699,-2.2405
275,pacific grove,55.44,84,40,4,36.6177,-121.9166
276,baoma,40.23,81,75,3.85,31.4859,106.1128
277,aden,76.68,71,26,13.65,12.7794,45.0367
278,amapa,71.53,99,90,2.13,1,-52
279,inirida,78.58,57,95,1.72,3.8653,-67.9239
280,elban,-6.3,96,98,2.68,50.1018,136.5094
281,vaitupu,,,,,,
282,ambon,86.14,66,40,12.66,-3.6954,128.1814
283,joao pinheiro,69.98,89,100,0.89,-17.7425,-46.1725
284,padang,77.05,88,66,2.06,-0.9492,100.3543
285,mehamn,19.04,90,88,7.72,71.0357,27.8492
286,ninghai,44.73,74,98,4.36,29.2892,121.4247
287,palmer,16.38,60,20,0,42.1584,-72.3287
288,santa fe,80.19,51,1,4,-31.6333,-60.7
289,nanortalik,25.61,81,100,16.84,60.1432,-45.2371
290,havre-saint-pierre,9.37,72,100,13.8,50.2334,-63.5986
291,singaparna,74.32,89,95,0.31,-7.3515,108.111
292,san ramon,57.83,61,0,1.99,37.7799,-121.978
293,santa rosalia,64.89,33,44,4.94,27.3167,-112.2833
294,fortuna,50.49,70,0,1.01,40.5982,-124.1573
295,ozgon,,,,,,
296,alegrete,80.6,34,1,9.6,-29.7831,-55.7919
297,atambua,76.46,82,97,13.06,-9.1061,124.8925
298,esperance,64.24,57,87,16.89,-33.8667,121.9
299,srivardhan,67.39,55,15,5.59,18.0333,73.0167
300,atuona,78.46,77,14,18.12,-9.8,-139.0333
301,flinders,84.61,71,26,5.99,-34.5833,150.8552
302,mali,65.23,15,87,2.13,12.079,-12.2982
303,aleksandrov gay,30.02,92,100,11.43,50.147,48.5704
304,misratah,55.56,40,51,17,32.3754,15.0925
305,narrabri,89.53,50,39,4,-30.3167,149.7833
306,namibe,71.78,72,99,8.68,-15.1961,12.1522
307,seoul,30,82,97,8.01,37.5683,126.9778
308,clyde river,-34.37,67,75,6.91,70.4692,-68.5914
309,pozo colorado,85.93,24,14,6.08,-23.4923,-58.7972
310,broadstairs,38.28,80,43,1.99,51.3591,1.4394
311,nemuro,25.23,66,37,21.03,43.3236,145.575
312,moba,23.2,93,100,2.39,33.2288,105.0179
313,sal rei,70.36,78,100,11.32,16.1833,-22.9167
314,rudnaya pristan,10.9,68,1,10.87,44.3614,135.8116
315,roma,16.34,67,0,0,43.2128,-75.4557
316,barcelos,45.55,75,0,6.55,41.5388,-8.6151
317,smithers,26.92,93,75,2.3,54.7804,-127.1743
318,luau,63.81,98,100,5.37,-10.7073,22.2247
319,kuche,,,,,,
320,kurilsk,23.05,82,100,23.31,45.2333,147.8833
321,bom jesus,77.67,68,76,1.36,-9.0744,-44.3586
322,staraya stanitsa,30.94,87,88,13.29,48.35,40.2833
323,jalu,53.33,66,47,9.42,29.0331,21.5482
324,kaitangata,71.92,70,65,5.79,-46.2817,169.8464
325,shemgang,31.93,92,97,2.89,27.2169,90.6579
326,kununurra,84.18,74,100,12.66,-15.7667,128.7333
327,cayenne,80.1,84,75,4,4.9333,-52.3333
328,sterling,29.84,62,100,1.99,39.0062,-77.4286
329,san patricio,65.41,97,97,11.1,28.017,-97.5169
330,lazaro cardenas,79.29,62,0,8.34,17.9583,-102.2
331,santiago de cao,68.13,83,75,10.36,-7.9589,-79.2392
332,sao joao da barra,77.67,88,92,6.89,-21.6403,-41.0511
333,honiara,85.93,72,95,3.94,-9.4333,159.95
334,concepcion del uruguay,73.98,60,0,1.99,-32.4825,-58.2372
335,constanta,27.28,72,76,10.56,44.1833,28.65
336,tadine,79.12,81,100,4.88,-21.55,167.8833
337,antalaha,75.49,86,96,6.53,-14.9003,50.2788
338,moberly,46.56,46,0,9.22,39.4184,-92.4382
339,attawapiskat,,,,,,
340,puerto del rosario,65.95,63,100,6.91,28.5004,-13.8627
341,victoria,54.66,92,95,1.99,22.2855,114.1577
342,babra,63.5,72,0,9.86,21.85,71.3
343,kaduy,19.44,96,97,6.76,59.2,37.15
344,cabo san lucas,75.06,58,1,4,22.8909,-109.9124
345,san policarpo,79.79,82,69,10.58,12.1791,125.5072
346,chumikan,-4.61,86,77,14.92,54.7183,135.315
347,seddon,69.73,74,40,5.01,-37.8068,144.8916
348,cap malheureux,79.47,70,67,5.99,-19.9842,57.6142
349,madison heights,23.74,77,0,1.99,42.4859,-83.1052
350,qena,50.11,65,4,6.58,26.1615,32.7183
351,tari,66.94,12,7,14.88,12.4086,4.4914
352,qaqortoq,20.93,76,97,19.42,60.7167,-46.0333
353,sitka,35.49,80,75,3.44,57.0531,-135.33
354,lebu,58.14,74,2,17.34,-37.6167,-73.65
355,fort nelson,-0.81,78,75,2.3,58.8053,-122.7002
356,faanui,81.05,72,6,21.18,-16.4833,-151.75
357,sur,72,59,0,5.79,22.5667,59.5289
358,warrington,46.49,88,75,10,53.3925,-2.5802
359,nanchang,41.43,90,100,8.14,28.6833,115.8833
360,bolshoye sorokino,,,,,,
361,egvekinot,1.6,70,85,13.33,66.3167,-179.1667
362,buon me thuot,,,,,,
363,ambilobe,73.94,94,100,1.61,-13.2,49.05
364,shimoda,46.11,58,31,14.76,34.6667,138.95
365,zaraza,76.96,68,55,10.67,9.3503,-65.3245
366,puerto colombia,78.89,79,2,23.71,10.9878,-74.9547
367,jyvaskyla,15.78,89,100,5.75,62.2415,25.7209
368,abeche,59.31,19,1,11.65,13.8292,20.8324
369,sokoto,64.53,10,0,15.26,13.0609,5.239
370,goderich,22.53,63,32,5.75,43.7501,-81.7165
371,weiden,33.75,92,100,1.01,49.6775,12.1567
372,portland,45.1,81,100,1.99,45.5234,-122.6762
373,nguiu,,,,,,
374,state college,26.24,60,100,0,40.7934,-77.86
375,mancio lima,74.68,84,80,2.26,-7.6142,-72.8958
376,batticaloa,78.44,67,96,7.38,7.7102,81.6924
377,solwezi,60.31,97,96,4.52,-12.1688,26.3894
378,taganak,77.09,77,95,3.13,6.0833,118.3
379,upernavik,-17.36,97,100,7.25,72.7868,-56.1549
380,gimli,21.22,79,100,12.66,50.6336,-96.9907
381,saleaula,,,,,,
382,narasannapeta,65.8,88,26,4.12,18.4167,84.05
383,dossor,31.05,89,100,11.56,47.5272,52.9811
384,terrasini,53.26,77,75,28.77,38.146,13.0844
385,rorvik,28.26,84,100,26.82,64.8621,11.2373
386,tual,83.86,74,100,21.65,-5.6667,132.75
387,richards bay,74.35,82,61,9.89,-28.783,32.0377
388,pringsewu,73.71,92,100,0.89,-5.3582,104.9744
389,omboue,77.83,86,90,4.88,-1.5746,9.2618
390,karema,69.64,89,100,7.96,-6.8205,30.4389
391,tara,12.49,96,96,4.63,56.8944,74.371
392,russell,54.32,46,0,0,32.3502,-85.1999
393,lompoc,60.01,72,0,9.22,34.6391,-120.4579
394,henties bay,69.85,78,100,7.07,-22.116,14.2845
395,atbasar,17.71,94,100,11.54,51.8,68.3333
396,konstantinovka,-10.71,94,22,4.94,49.6167,127.9833
397,ust-kamchatsk,,,,,,
398,port said,58.24,64,2,13.8,31.2565,32.2841
399,mujiayingzi,4.05,73,1,6.38,42.1167,118.7833
400,nijar,49.64,100,20,6.91,36.9665,-2.206
401,weston,62.28,61,0,4,26.1004,-80.3998
402,mandalgovi,2.3,57,3,6.22,45.7625,106.2708
403,lloydminster,1.62,71,75,20.71,53.2835,-110.0016
404,arak,31.84,93,100,4.97,34.0917,49.6892
405,hambantota,74.91,81,21,13,6.1241,81.1185
406,rio gallegos,51.85,54,75,36.82,-51.6226,-69.2181
407,choya,13.33,97,100,1.72,52.0108,86.5467
408,luanda,78.8,78,40,10.36,-8.8368,13.2343
409,syamzha,18.43,94,100,7.47,60.0158,41.0614
410,bemidji,22.77,78,0,10.36,47.4736,-94.8803
411,kang,71.91,68,90,12.95,-23.6752,22.7876
412,raga,67.75,20,74,6.71,8.4596,25.678
413,tsihombe,,,,,,
414,lucapa,65.86,97,100,2.84,-8.4192,20.7447
415,kungalv,30.76,81,100,9.19,57.871,11.9805
416,chokwe,72.1,85,8,3.53,-24.5333,32.9833
417,vila velha,75.94,91,75,5.01,-20.3297,-40.2925
418,erzin,43.32,82,87,4.88,36.9559,36.2
419,falealupo,,,,,,
420,phrae,61.57,52,53,0.69,18.0833,100
421,hanumangarh,53.85,38,1,4.38,29.5833,74.3167
422,migori,61.79,91,100,5.21,-1.0634,34.4731
423,iqaluit,-29.31,66,20,3,63.7506,-68.5145
424,deer lake,22.86,74,100,14.97,49.1667,-57.4316
425,ishigaki,64.53,72,75,10.36,24.3448,124.1572
426,anloga,77.22,73,97,6.29,5.7947,0.8973
427,sakakah,47.77,57,2,9.84,29.9697,40.2064
428,matara,73.06,89,16,9.13,5.9485,80.5353
429,pangody,-14.51,100,99,6.02,65.85,74.4859
430,banjarmasin,75.34,86,100,2.48,-3.3244,114.591
431,ust-kuyga,-30.89,100,99,2.37,70.0167,135.6
432,tevaitoa,80.92,73,5,20.56,-16.7833,-151.5
433,homer,28.9,65,39,5.21,59.6425,-151.5483
434,xuddur,70.38,82,44,14.74,4.1213,43.8894
435,maxixe,74.48,85,36,5.53,-23.8597,35.3472
436,seminole,58.06,63,5,2.04,28.7086,-81.2081
437,maceio,80.04,83,0,5.75,-9.6658,-35.7353
438,inderborskiy,,,,,,
439,boa vista,87.78,48,20,6.91,2.8197,-60.6733
440,one hundred mile house,,,,,,
441,ginir,57.25,19,81,4.41,7.1333,40.7
442,bara,62.31,26,1,8.93,10.3744,10.7288
443,svetlogorsk,24.87,94,100,11.68,52.6333,29.7333
444,huarmey,71.92,80,84,8.61,-10.0681,-78.1522
445,lethem,82.02,56,62,7.83,3.3803,-59.7968
446,amderma,,,,,,
447,alta floresta,70.7,97,73,2.44,-9.8756,-56.0861
448,yanan,,,,,,
449,ormara,72.75,40,0,8.32,25.2088,64.6357
450,hidalgo,70.81,22,3,15.59,20.5,-99
451,mayahi,57.27,11,2,14.63,13.9553,7.6712
452,tibagi,65.97,96,22,2.21,-24.5094,-50.4136
453,sioux lookout,23.07,80,100,8.05,50.1001,-91.917
454,ust-nera,-3.68,99,100,3.56,64.5667,143.2
455,stoyba,,,,,,
456,bima,80.31,87,62,3.02,-8.4667,118.7167
457,san quintin,61.56,61,84,10.85,30.4833,-115.95
458,beckley,30.09,90,14,1.14,37.7782,-81.1882
459,tuatapere,75.81,48,75,0.58,-46.1333,167.6833
460,xiaoshi,6.82,85,71,3.91,41.2971,124.1209
461,hokitika,71.08,57,100,6.69,-42.7167,170.9667
462,ambodifototra,,,,,,
463,sorland,34.09,56,100,10.71,67.667,12.6934
464,lata,39.61,60,0,4.76,40.1629,-8.3327
465,ukholovo,29.25,95,100,15.48,53.7929,40.4892
466,quatre cocos,79.09,74,57,23.98,-20.2078,57.7625
467,kloulklubed,81.1,73,100,18.37,7.0419,134.2556
468,neuquen,84.09,23,0,4.61,-38.9516,-68.0591
469,marmaron,,,,,,
470,aquiraz,82.49,79,47,11.05,-3.9014,-38.3911
471,havoysund,20.28,74,100,7.67,70.9963,24.6622
472,berlevag,22.1,75,70,8.21,70.8578,29.0864
473,dongsheng,6.94,47,0,2.82,39.8161,109.9776
474,stabat,76.39,97,90,2.24,3.761,98.4513
475,yokadouma,66.99,32,100,1.92,3.5167,15.05
476,dudinka,6.62,94,99,8.93,69.4058,86.1778
477,poplar bluff,50.85,72,67,6.49,36.757,-90.3929
478,sawtell,82.44,78,2,8.05,-30.3833,153.1
479,college place,45.23,63,88,11.01,46.0493,-118.3883
480,nagato,44.55,59,84,21.92,34.3833,131.2
481,chapais,-11.42,99,79,3.04,49.7834,-74.8492
482,acajutla,80.8,64,3,8.12,13.5928,-89.8275
483,burgdorf,36.18,93,75,1.01,52.4463,10.0064
484,coahuayana,79.54,60,0,5.21,18.7333,-103.6833
485,channel-port aux basques,23,68,100,21.47,47.5702,-59.1367
486,jiwani,71.42,65,0,2.86,25.05,61.7417
487,deputatskiy,-26.21,100,59,3.83,69.3,139.9
488,sobolevo,23.67,97,100,5.88,54.4299,31.8996
489,bargal,,,,,,
490,baijiantan,1.02,95,57,2.84,45.6333,85.1833
491,ola,2.71,80,86,12.39,59.5833,151.2833
492,sorvag,,,,,,
493,vrangel,15.53,58,42,10.51,42.7297,133.0839
494,panjab,-8.05,78,14,4.76,34.388,67.0233
495,kalmunai,78.01,68,99,7.96,7.4167,81.8167
496,guerrero negro,65.75,48,21,11.79,27.9769,-114.0611
